K2E	S2G	N2D	R2G	Y2C	I2V	T2A	M2V	I2M	K2R	Q2R	E2G	H2R	N2S	D2G	*2W	*2*	L2L	V2V	Q2Q	P2P	S2S	E2E	T2T	A2A	R2R	K2K	G2G	
3437	3141	2764	3044	2514	1319	829	795	1012	602	557	188	162	204	61	0	0	4235	1002	136	114	92	75	76	52	38	66	11	
3425	3178	2782	3030	2488	1417	839	788	987	640	561	180	157	202	56	0	0	4126	1001	120	133	104	81	65	56	30	70	10	
3352	3203	2785	3043	2488	1382	832	820	1026	610	587	170	173	189	55	0	0	4132	995	131	127	97	75	71	62	38	71	12	
3351	3126	2784	3067	2512	1424	847	813	1006	629	549	163	149	190	66	0	0	4193	1005	124	129	80	73	72	52	35	74	13	
3342	3166	2785	3082	2439	1355	842	831	994	630	560	177	154	204	69	0	0	4240	985	131	134	97	80	68	56	23	70	12	
3373	3184	2802	3060	2434	1367	827	814	1027	600	575	175	161	204	55	0	0	4163	1012	137	128	81	77	96	60	31	71	12	
3420	3187	2758	3004	2440	1364	851	784	1010	619	537	191	181	206	53	0	0	4238	1024	128	144	80	77	68	59	28	60	15	
3396	3172	2783	3016	2563	1351	813	797	984	572	563	172	155	200	59	0	0	4239	1003	140	131	86	81	84	59	39	60	8	
3390	3102	2785	3062	2479	1319	856	791	1032	600	564	169	154	206	65	0	0	4205	1054	129	138	100	78	70	62	35	68	13	
3366	3169	2816	3005	2497	1351	838	806	1053	601	511	161	157	200	63	0	0	4222	1041	139	144	86	73	43	77	31	62	14	
3403	3143	2762	3082	2487	1363	849	803	995	619	551	190	146	194	66	0	0	4172	1053	133	114	93	74	80	53	29	61	11	
3371	3203	2819	3013	2423	1398	857	837	1019	607	563	177	145	193	59	0	0	4124	1045	120	133	98	80	73	67	25	69	8	
3382	3158	2772	3005	2547	1363	848	766	999	620	561	189	148	202	60	0	0	4200	1016	132	138	97	79	79	63	31	60	11	
3404	3178	2811	3069	2565	1373	830	801	972	630	518	177	151	188	61	0	0	4154	958	119	145	96	68	75	67	30	76	10	
3356	3187	2802	3055	2453	1362	821	835	1026	601	581	174	133	190	70	0	0	4212	995	144	136	98	70	64	56	26	66	13	
3349	3119	2757	3011	2471	1369	819	836	996	619	607	181	163	194	52	0	0	4220	1082	146	146	97	74	66	51	26	65	10	
3367	3113	2799	2987	2477	1383	833	843	1025	626	588	175	133	196	65	0	0	4204	1028	123	147	109	78	56	71	25	62	13	
3396	3123	2770	3051	2468	1388	843	784	966	618	581	177	158	205	61	0	0	4238	1006	133	135	87	89	69	64	38	67	11	
3447	3138	2748	3085	2474	1396	845	834	993	618	564	182	144	189	57	0	0	4112	1005	139	106	108	78	80	71	26	75	12	
3385	3165	2768	3056	2466	1379	845	806	1005	623	569	181	172	198	63	0	0	4115	1053	123	143	88	69	80	62	26	71	15	
